,missing_count,missing_pct
state_code,11838,35.22
funding_total_usd,5398,16.06
avg_funding_per_round,5398,16.06
city,2980,8.87
country_code,2598,7.73
region,2598,7.73
market,1547,4.6
category_list,1542,4.59
primary_category,1542,4.59
first_funding_at,6,0.02
funding_duration_days,6,0.02
days_to_first_funding,6,0.02
last_funding_at,2,0.01
round_d,0,0.0
round_e,0,0.0
round_f,0,0.0
round_g,0,0.0
round_b,0,0.0
round_c,0,0.0
name,1,0.0
round_h,0,0.0
product_crowdfunding,0,0.0
is_usa,0,0.0
is_closed,0,0.0
reached_series_a,0,0.0
founding_decade,0,0.0
funding_tier,0,0.0
round_a,0,0.0
grant,0,0.0
secondary_market,0,0.0
post_ipo_debt,0,0.0
status,0,0.0
funding_rounds,0,0.0
founded_at,0,0.0
founded_month,0,0.0
founded_quarter,0,0.0
founded_year,0,0.0
seed,0,0.0
venture,0,0.0
equity_crowdfunding,0,0.0
undisclosed,0,0.0
convertible_note,0,0.0
debt_financing,0,0.0
angel,0,0.0
private_equity,0,0.0
post_ipo_equity,0,0.0
has_seed,0,0.0
